City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port alfred,-33.5906,26.891,18.72,77,42,1.6,ZA,1667704379
1,kitui,-1.367,38.0106,17.62,94,85,1.39,KE,1667704408
2,lang son,21.8333,106.7333,23.34,54,0,1.96,VN,1667704345
3,mayumba,-3.432,10.6554,24.46,91,84,2.77,GA,1667704409
4,champoton,19.35,-90.7167,26.16,83,87,2.73,MX,1667704410
5,butaritari,3.0707,172.7902,26.6,74,55,3.73,KI,1667704410
6,homer,59.6425,-151.5483,-2.07,45,0,4.63,US,1667704385
7,busselton,-33.65,115.3333,21.83,42,6,2.48,AU,1667704365
8,ahuimanu,21.4447,-157.8378,27.84,69,75,5.66,US,1667704411
9,punta arenas,-53.15,-70.9167,12.06,71,0,5.14,CL,1667704375
10,rikitea,-23.1203,-134.9692,21.92,75,37,7.37,PF,1667704386
11,okhotsk,59.3833,143.3,-8.01,53,100,6.63,RU,1667704412
12,vaini,-21.2,-175.2,27.09,74,40,4.12,TO,1667704413
13,ushuaia,-54.8,-68.3,7.81,93,0,2.57,AR,1667704413
14,east london,-33.0153,27.9116,18.0,80,28,1.92,ZA,1667704307
15,urumqi,43.801,87.6005,5.53,65,46,1.0,CN,1667704414
16,vestmannaeyjar,63.4427,-20.2734,6.44,72,96,7.6,IS,1667704415
17,arlit,18.7369,7.3853,21.03,19,100,2.28,NE,1667704415
18,pafos,34.7667,32.4167,15.88,72,0,4.12,CY,1667704274
19,puerto escondido,15.85,-97.0667,27.46,61,40,1.03,MX,1667704416
20,esmeraldas,-19.7625,-44.3139,18.48,65,77,2.75,BR,1667704417
21,roswell,34.0232,-84.3616,21.88,77,20,5.14,US,1667704417
22,dikson,73.5069,80.5464,-8.6,94,96,5.5,RU,1667704418
23,carnarvon,-24.8667,113.6333,21.76,61,24,8.03,AU,1667704418
24,cidreira,-30.1811,-50.2056,17.34,75,0,5.21,BR,1667704420
25,chokurdakh,70.6333,147.9167,-13.69,97,100,1.88,RU,1667704420
26,goure,13.9835,10.2704,20.49,20,75,3.45,NE,1667704421
27,saskylakh,71.9167,114.0833,-30.64,100,100,1.11,RU,1667704421
28,north bend,43.4065,-124.2243,9.58,97,40,2.57,US,1667704422
29,mataura,-46.1927,168.8643,16.14,43,18,2.96,NZ,1667704422
30,cienfuegos,22.1461,-80.4356,22.54,83,6,3.02,CU,1667704423
31,hasaki,35.7333,140.8333,16.22,54,100,6.5,JP,1667704423
32,ribeira grande,38.5167,-28.7,15.99,84,73,1.34,PT,1667704424
